frequency,character,canto,definition,radical,stroke_count,pinyin
420,亚,ngaa3 ngaa3,Asia; second,一,6,yà
421,请,cing2,"ask, request; invite; please",言,10,qǐng
422,技,gei6,"skill, ability, talent, ingenuity",手,7,jì
423,际,zai3 zai3,"border, boundary, juncture",阜,7,jì
424,约,joek3,"treaty, agreement, covenant",糸,6,yuē
425,示,si6,"show, manifest; demonstrate",示,5,shì
426,复,fuk6 fuk6,return; repeat; repeatedly,夊,9,fù
427,病,beng6,"illness, sickness, disease",疒,10,bìng
428,息,sik1,"rest, put stop to, end, cease",心,10,xī
429,究,gau3,"examine, investigate",穴,7,jiū
430,线,sin3 sin3,"line, thread, wire; clue",糸,8,xiàn
431,似,ci5,"resemble, similar to; as if, seem",人,6,shì
432,官,gun1,"official, public servant",宀,8,guān
433,火,fo2,"fire, flame; burn; anger, rage",火,4,huǒ
434,断,tyun5 tyun5,"sever, cut off; interrupt",斤,11,duàn
435,精,zing1,essence; semen; spirit,米,14,jīng
436,满,mun5,"fill; full, satisfied",水,13,mǎn
437,支,zi1,"disperse, pay; support; branch",支,4,zhī
438,视,si6 si6,"look at, inspect, observe, see",見,8,shì
439,消,siu1,"vanish, die out; melt away",水,10,xiāo
440,越,jyut6,"exceed, go beyond; the more ...",走,12,yuè
441,器,hei3,"receptacle, vessel; instrument",口,16,qì
442,容,jung4,"looks, appearance; figure, form",宀,10,róng
443,照,ziu3,"shine, illumine, reflect",火,13,zhào
444,须,seoi1,"must, have to, necessary",彡,9,xū
445,九,gau2,nine,乙,2,jiǔ
446,增,zang1,"increase, add to, augment",土,15,zēng
447,研,jin4,"grind, rub; study, research",石,9,yán
448,写,se2,"write; draw, sketch; compose",冖,5,xiě
449,称,cing1,"call; name, brand; address; say",禾,10,chēng
450,企,kei5,plan a project; stand on tiptoe,人,6,qǐ
451,八,baat.3,"eight; all around, all sides",八,2,bā
452,功,gung1,"achievement, merit, good result",力,5,gōng
453,吗,maa1,final interrogative particle,口,6,ma
454,包,baau.1,"wrap, pack, bundle; package",勹,5,bāo
455,片,pin3,"slice, splinter, strip; rad. 91",片,4,piàn
